"fixloc" "fixdur" "fixnr" "id"
1 1650 3 "11_51"
2 996 4 "11_51"
1 360 1 "11_52"
2 815 2 "11_52"
1 817 3 "11_52"
1 475 1 "11_53"
2 541 2 "11_53"
1 395 1 "11_54"
2 601 2 "11_54"
1 295 1 "11_55"
2 578 2 "11_55"
1 335 1 "11_56"
2 463 2 "11_56"
1 301 3 "11_56"
1 348 1 "11_57"
2 422 2 "11_57"
1 320 1 "11_58"
2 517 2 "11_58"
1 98 3 "11_58"
1 241 1 "11_59"
2 399 2 "11_59"
1 321 1 "11_60"
2 695 2 "11_60"
1 140 3 "11_60"
1 196 1 "11_61"
2 738 2 "11_61"
1 200 1 "11_62"
2 559 2 "11_62"
1 176 3 "11_62"
1 339 1 "11_63"
2 280 2 "11_63"
1 374 1 "11_64"
2 761 2 "11_64"
1 244 1 "11_65"
2 462 2 "11_65"
1 497 3 "11_65"
2 184 4 "11_65"
1 80 1 "11_66"
2 19 2 "11_66"
1 122 3 "11_66"
2 662 4 "11_66"
1 214 5 "11_66"
2 549 6 "11_66"
1 308 7 "11_66"
2 538 1 "11_67"
1 400 2 "11_67"
2 238 3 "11_67"
1 219 1 "11_68"
2 374 2 "11_68"
1 641 3 "11_68"
2 977 4 "11_68"
1 459 1 "11_69"
2 438 2 "11_69"
1 279 1 "11_70"
2 576 2 "11_70"
1 558 3 "11_70"
2 615 4 "11_70"
1 182 1 "11_71"
2 660 2 "11_71"
1 217 3 "11_71"
2 220 1 "11_72"
1 295 2 "11_72"
2 398 3 "11_72"
1 222 1 "11_73"
2 851 2 "11_73"
1 482 1 "11_74"
2 1192 2 "11_74"
1 245 1 "11_75"
2 473 2 "11_75"
1 97 1 "11_76"
2 339 2 "11_76"
1 758 3 "11_76"
1 17 1 "11_77"
2 278 2 "11_77"
1 540 3 "11_77"
2 481 4 "11_77"
1 201 1 "11_78"
2 73 2 "11_78"
1 241 1 "11_79"
2 319 2 "11_79"
1 200 3 "11_79"
2 279 1 "11_80"
1 236 2 "11_80"
2 283 1 "11_81"
1 475 2 "11_81"
2 520 3 "11_81"
1 100 4 "11_81"
1 583 1 "11_82"
2 513 2 "11_82"
1 82 3 "11_82"
1 199 1 "11_83"
