"id" "v1" "v2" "decision" "rt"
"17_86" 5 2 2 797
"17_87" 5 3 2 1155
"17_88" 2 4 1 1453
"17_89" 5 2 2 518
"17_90" 2 0 2 2937
"17_91" 2 2 2 717
"17_92" 0 1 1 618
"17_93" 1 3 1 838
"17_94" 2 4 1 737
"17_95" 2 2 2 877
"17_96" 3 4 1 1459
"17_97" 2 2 1 1574
"17_98" 0 2 1 877
"17_99" 1 5 2 1853
"17_100" 2 2 2 798
"18_1" 2 0 2 12537
"18_2" 8 8 2 6355
"18_3" 3 3 1 3189
"18_4" 4 3 1 5123
"18_5" 8 5 2 3051
"18_6" 5 0 2 6080
"18_7" 5 5 2 5439
"18_8" 4 5 2 5344
"18_9" 9 5 2 4464
"18_10" 6 2 2 8733
"18_11" 1 6 1 4764
"18_12" 4 5 2 2988
"18_13" 5 5 2 4088
"18_14" 7 5 2 4004
"18_15" 1 0 2 2771
"18_16" 6 4 1 2432
"18_17" 0 5 1 1294
"18_18" 5 10 1 1016
"18_19" 9 5 2 799
"18_20" 5 0 2 2171
"18_21" 3 2 2 3646
"18_22" 4 5 2 3788
"18_23" 1 3 1 4067
"18_24" 9 5 2 2451
"18_25" 7 5 2 4255
"18_26" 9 6 2 1976
"18_27" 9 5 2 1617
"18_28" 7 8 2 3132
"18_29" 5 5 1 4143
"18_30" 9 5 2 2431
"18_31" 5 9 1 1077
"18_32" 7 8 1 3929
"18_33" 4 8 1 1974
"18_34" 7 4 1 5635
"18_35" 2 0 2 1653
"18_36" 9 5 2 1833
"18_37" 10 8 2 636
"18_38" 1 6 1 3486
"18_39" 2 4 1 1782
"18_40" 4 8 1 1972
"18_41" 1 5 2 3887
"18_42" 8 5 2 1492
"18_43" 1 2 2 5262
"18_44" 9 6 2 1357
"18_45" 4 5 2 2172
"18_46" 4 8 2 2012
"18_47" 8 5 2 1782
"18_48" 2 3 1 3529
"18_49" 5 5 1 1872
"18_50" 5 3 2 3886
"18_51" 8 5 1 2611
"18_52" 1 2 2 6593
"18_53" 4 5 1 4165
"18_54" 4 9 1 1035
"18_55" 0 5 1 755
"18_56" 6 5 2 1416
"18_57" 3 5 1 2012
"18_58" 8 8 1 1473
"18_59" 2 5 1 1633
"18_60" 5 4 2 1993
"18_61" 6 5 2 5163
"18_62" 1 5 1 2770
"18_63" 2 5 1 2989
"18_64" 5 2 2 998
"18_65" 5 8 1 698
"18_66" 6 1 1 2072
"18_67" 2 5 1 581
"18_68" 1 6 1 1577
"18_69" 5 10 1 661
"18_70" 1 4 1 2770
"18_71" 1 5 1 1655
"18_72" 1 3 1 2173
"18_73" 6 5 2 5446
"18_74" 4 6 2 2889
"18_75" 6 5 2 4182
"18_76" 0 5 1 905
"18_77" 5 6 2 8267
"18_78" 6 9 1 1135
"18_79" 5 8 2 5839
"18_80" 1 4 2 2851
"18_81" 6 6 2 2731
"18_82" 4 1 2 1195
"18_83" 9 5 2 777
"18_84" 2 4 1 5343
"18_85" 9 4 2 1233
"18_86" 4 5 2 757
"18_87" 5 5 1 6177
"18_88" 8 6 2 1375
"18_89" 2 0 2 1455
"18_90" 8 5 2 1814
"18_91" 6 5 2 3428
"18_92" 8 6 2 797
"18_93" 5 7 1 2334
"18_94" 2 6 1 1857
"18_95" 4 3 1 4128
"18_96" 6 6 2 4009
"18_97" 7 5 2 3308
"18_98" 6 9 1 817
"18_99" 6 5 2 2688
"18_100" 5 8 2 2770
"19_1" 7 5 1 1034
"19_2" 6 3 1 1674
"19_3" 5 6 2 1693
"19_4" 5 4 2 1533
"19_5" 0 4 1 1353
"19_6" 5 1 2 997
"19_7" 5 4 2 1534
"19_8" 6 3 2 976
"19_9" 5 7 2 1236
"19_10" 1 5 1 1356
"19_11" 4 8 1 1235
"19_12" 4 5 1 1814
"19_13" 6 7 2 1494
"19_14" 3 1 2 1594
"19_15" 7 9 1 1056
"19_16" 3 6 2 1295
"19_17" 3 5 2 1122
"19_18" 4 5 1 1723
"19_19" 7 6 1 1992
"19_20" 5 7 1 2450
"19_21" 1 5 1 1115
"19_22" 4 7 1 1244
"19_23" 9 7 2 877
"19_24" 7 7 2 1217
"19_25" 1 4 2 1693
"19_26" 5 3 2 1874
"19_27" 5 5 2 866
"19_28" 7 7 2 1772
"19_29" 3 7 2 2191
"19_30" 1 3 1 2152
"19_31" 5 6 2 1258
"19_32" 6 9 1 1493
"19_33" 4 4 1 1519
"19_34" 0 5 1 1097
"19_35" 5 6 1 2051
"19_36" 5 1 2 1453
"19_37" 3 3 2 1697
"19_38" 7 9 1 1096
"19_39" 4 0 2 1437
"19_40" 3 5 1 1051
"19_41" 9 9 2 2889
"19_42" 0 0 1 2300
"19_43" 7 5 2 1316
"19_44" 8 3 2 909
"19_45" 4 4 1 1895
"19_46" 5 5 1 1255
"19_47" 4 5 1 1077
"19_48" 3 1 2 996
"19_49" 4 5 1 860
"19_50" 5 4 2 1356
"19_51" 5 5 2 754
"19_52" 7 5 2 1593
"19_53" 1 5 1 956
"19_54" 10 9 2 2213
"19_55" 7 5 2 1295
"19_56" 5 7 2 1336
"19_57" 5 7 1 2155
"19_58" 0 4 1 1454
"19_59" 6 6 1 1794
"19_60" 10 6 2 1037
"19_61" 4 2 2 1853
"19_62" 4 6 1 1137
"19_63" 7 4 2 1135
"19_64" 5 5 1 2173
"19_65" 3 4 1 2193
"19_66" 4 4 2 1356
"19_67" 6 8 1 877
"19_68" 5 4 2 1018
"19_69" 5 7 1 1060
"19_70" 4 1 2 934
"19_71" 4 0 2 1016
"19_72" 5 6 2 1295
"19_73" 1 4 2 1733
"19_74" 6 7 1 1297
"19_75" 5 4 2 1973
"19_76" 1 5 1 1296
"19_77" 7 7 1 855
"19_78" 5 5 1 3189
"19_79" 6 5 1 2251
"19_80" 2 7 1 2195
"19_81" 4 4 1 2650
"19_82" 1 5 1 1792
"19_83" 6 1 2 1096
"19_84" 10 7 2 1403
"19_85" 3 8 1 950
"19_86" 5 1 2 1196
"19_87" 1 3 1 1015
"19_88" 1 6 1 1614
"19_89" 1 4 1 875
"19_90" 5 5 1 1234
"19_91" 5 10 1 1357
"19_92" 4 5 1 937
"19_93" 5 10 1 1156
"19_94" 5 3 2 2393
"19_95" 6 1 2 1137
"19_96" 2 4 1 3169
"19_97" 4 5 1 976
"19_98" 5 4 2 1295
"19_99" 3 6 1 996
"19_100" 6 5 2 1376
"20_1" 4 2 2 1698
"20_2" 2 6 1 1536
"20_3" 1 3 1 1794
"20_4" 5 1 2 580
"20_5" 3 0 2 1357
"20_6" 2 3 1 1136
"20_7" 3 0 2 1373
"20_8" 2 2 1 1834
"20_9" 3 3 2 978
"20_10" 2 4 1 1195
"20_11" 5 0 2 1275
"20_12" 3 6 1 1255
"20_13" 5 5 2 1095
"20_14" 0 4 1 1075
"20_15" 6 6 2 2211
"20_16" 4 0 2 1034
"20_17" 0 0 1 3955
"20_18" 5 4 2 1118
"20_19" 6 2 2 757
"20_20" 1 4 1 897
"20_21" 7 4 2 698
"20_22" 6 3 2 1156
"20_23" 4 4 2 2495
"20_24" 0 2 1 1575
"20_25" 6 3 2 716
"20_26" 2 6 1 1814
"20_27" 7 4 2 536
"20_28" 2 1 1 2551
"20_29" 1 4 1 1037
"20_30" 5 3 2 1672
"20_31" 6 3 2 715
"20_32" 0 0 2 1136
"20_33" 0 3 1 797
"20_34" 2 1 2 1016
"20_35" 6 2 2 695
"20_36" 2 3 2 1075
"20_37" 5 2 2 1455
"20_38" 1 4 1 2132
"20_39" 6 5 2 697
"20_40" 4 4 2 857
"20_41" 8 6 2 1514
"20_42" 5 5 2 1068
"20_43" 4 0 2 1096
"20_44" 4 2 2 1095
"20_45" 3 1 1 837
"20_46" 3 2 2 817
"20_47" 6 3 2 1577
"20_48" 1 2 1 996
"20_49" 0 0 2 1071
"20_50" 5 2 2 1136
"20_51" 0 3 2 2012
"20_52" 3 0 1 958
"20_53" 1 6 1 954
"20_54" 6 5 1 1273
"20_55" 2 1 2 1135
"20_56" 4 0 2 873
"20_57" 4 0 2 659
"20_58" 0 1 1 2037
"20_59" 4 2 2 1931
"20_60" 3 2 2 999
"20_61" 3 0 2 1037
"20_62" 6 3 1 976
"20_63" 3 6 1 978
"20_64" 2 1 2 837
"20_65" 4 6 2 797
"20_66" 4 6 1 497
"20_67" 3 0 2 838
"20_68" 6 4 2 1135
"20_69" 6 5 2 518
"20_70" 1 6 1 837
"20_71" 4 0 2 757
"20_72" 6 3 2 1418
"20_73" 2 0 2 1493
"20_74" 2 5 1 1138
"20_75" 7 5 2 1211
"20_76" 2 5 1 678
"20_77" 0 1 1 859
"20_78" 0 0 2 1099
"20_79" 2 5 1 1020
